playerId,avatarFile,actionLabel,correctResponse,buffer.thisRepN,buffer.thisTrialN,buffer.thisN,buffer.thisIndex,trialsSb.thisRepN,trialsSb.thisTrialN,trialsSb.thisN,trialsSb.thisIndex,textWelcome.started,textWelcome.stopped,keyWelcome.keys,keyWelcome.rt,keyWelcome.started,keyWelcome.stopped,text_3.started,text_3.stopped,fixCross.started,fixCross.stopped,textInstr.started,textInstr.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,textSb.started,textSb.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,13.762887299992144,None,space,1.5149722999194637,15.75579349999316,None,,,,,,,,,,,,,,,,,,,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
,,,,0,0,0,0,,,,,,,,,,,18.791333699948154,None,18.791333699948154,None,17.803365499945357,None,19.30279620003421,20.307180400006473,20.273151300032623,20.78420739993453,20.78420739993453,21.295231799944304,21.278448299970478,None,,,,,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
,,,,1,0,1,0,,,,,,,,,,,,,,,,,21.789359199930914,22.793832600000314,22.75954889995046,23.267795699997805,23.267795699997805,23.778962999931537,23.761079199961387,21.789359199930914,,,,,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
,,,,2,0,2,0,,,,,,,,,,,,,,,,,24.271492599975318,25.277232800028287,25.243806599988602,25.752769400016405,25.752769400016405,26.264873199979775,26.247859700000845,24.271492599975318,,,,,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
,,,,3,0,3,0,,,,,,,,,,,,,,,,,26.759381599957123,27.765134599991143,27.73109180002939,28.2431602999568,28.2431602999568,28.757851699949242,28.738888500025496,26.759381599957123,,,,,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
,,,,4,0,4,0,,,,,,,,,,,,,,,,,29.2502687999513,30.254489599959925,30.220582099980675,30.731064699939452,30.731064699939452,31.24237470002845,31.22565629996825,29.2502687999513,,,,,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,defect,defect,,,,,0,0,0,7,,,,,,,33.81160509993788,None,33.81160509993788,None,,,,,,,,,,,31.888057500007562,None,31.888057500007562,32.89310350001324,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,1,1,15,,,,,,,36.31415949994698,None,36.31415949994698,None,,,,,,,,,,,34.360198999987915,None,34.360198999987915,35.3619902000064,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,2,2,18,,,,,,,38.81980559998192,None,38.81980559998192,None,,,,,,,,,,,36.82749229995534,None,36.82749229995534,37.83105199993588,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,trust,trust,,,,,0,3,3,3,,,,,,,41.30790120002348,None,41.30790120002348,None,,,,,,,,,,,39.38621249992866,None,39.38621249992866,40.38991379993968,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,4,4,11,,,,,,,43.81057059997693,None,43.81057059997693,None,,,,,,,,,,,41.85313820000738,None,41.85313820000738,42.85754849994555,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,defect,defect,,,,,0,5,5,8,,,,,,,46.31326079997234,None,46.31326079997234,None,,,,,,,,,,,44.389852099935524,None,44.389852099935524,45.39256429998204,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,6,6,19,,,,,,,48.8134948000079,None,48.8134948000079,None,,,,,,,,,,,46.85822279995773,None,46.85822279995773,47.86076339997817,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,7,7,13,,,,,,,51.31525149999652,None,51.31525149999652,None,,,,,,,,,,,49.32507240003906,None,49.32507240003906,50.329662399948575,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,trust,trust,,,,,0,8,8,6,,,,,,,53.80313220003154,None,53.80313220003154,None,,,,,,,,,,,51.88273960002698,None,51.88273960002698,52.885453499970026,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,trust,trust,,,,,0,9,9,2,,,,,,,56.318925100029446,None,56.318925100029446,None,,,,,,,,,,,54.364377000019886,None,54.364377000019886,55.36876179999672,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,trust,trust,,,,,0,10,10,4,,,,,,,58.819484299980104,None,58.819484299980104,None,,,,,,,,,,,56.86356710002292,None,56.86356710002292,57.868135900003836,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,trust,trust,,,,,0,11,11,5,,,,,,,61.30380320001859,None,61.30380320001859,None,,,,,,,,,,,59.363894399954006,None,59.363894399954006,60.36771689995658,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,trust,trust,,,,,0,12,12,1,,,,,,,63.803764099953696,None,63.803764099953696,None,,,,,,,,,,,61.8654455000069,None,61.8654455000069,62.86708799994085,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,13,13,10,,,,,,,66.30738419992849,None,66.30738419992849,None,,,,,,,,,,,64.3677580000367,None,64.3677580000367,65.36921040003654,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,14,14,14,,,,,,,68.81130800000392,None,68.81130800000392,None,,,,,,,,,,,66.83579279994592,None,66.83579279994592,67.84091579995584,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,15,15,16,,,,,,,71.31306680000853,None,71.31306680000853,None,,,,,,,,,,,69.32273270003498,None,69.32273270003498,70.32494449999649,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,trust,trust,,,,,0,16,16,12,,,,,,,73.8142269999953,None,73.8142269999953,None,,,,,,,,,,,71.8235096000135,None,71.8235096000135,72.82642689999193,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,trust,trust,,,,,0,17,17,0,,,,,,,76.31498629995622,None,76.31498629995622,None,,,,,,,,,,,74.41463449993171,None,74.41463449993171,75.41435129998717,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Paul,images/avatar1.jpg,defect,defect,,,,,0,18,18,9,,,,,,,78.81278959999327,None,78.81278959999327,None,,,,,,,,,,,76.85951310000382,None,76.85951310000382,77.86231649992988,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
Lukas,images/avatar2.jpg,defect,defect,,,,,0,19,19,17,,,,,,,81.3166527999565,None,81.3166527999565,None,,,,,,,,,,,79.34185039997101,None,79.34185039997101,80.34571679995861,,001,2020_Feb_03_1524,first_sbtg,3.2.4,58.68021160357461,
